aceitanotificacoes,comonosconheceu,observacoes,profissao,pessoaid
true,Stand-alone optimizing policy,Reduced local standardization,Occupational Therapist,1
true,Programmable disintermediate focus group,Profit-focused attitude-oriented benchmark,Design Engineer,2
false,Balanced optimizing throughput,Horizontal fresh-thinking hierarchy,Recruiting Manager,3
true,Polarised 5th generation system engine,Assimilated impactful migration,Staff Accountant III,4
false,Cross-platform client-driven ability,Progressive coherent hierarchy,Statistician III,5
true,Innovative human-resource productivity,Business-focused zero administration instruction set,Human Resources Assistant III,6
false,Optimized attitude-oriented time-frame,Versatile 24 hour encoding,Pharmacist,7
false,Advanced tertiary standardization,Intuitive leading edge open architecture,Research Associate,8
false,Self-enabling radical circuit,Visionary local project,Junior Executive,9
false,Synergistic content-based challenge,Monitored directional capacity,Social Worker,10
true,Integrated bandwidth-monitored middleware,Sharable dynamic core,GIS Technical Architect,11
false,Synchronised zero administration challenge,Business-focused web-enabled solution,VP Product Management,12
false,Virtual radical portal,Progressive systemic orchestration,VP Marketing,13
false,Quality-focused static approach,Synergistic needs-based challenge,Structural Analysis Engineer,14
false,User-centric foreground workforce,Virtual full-range forecast,Quality Engineer,15
true,Assimilated regional extranet,Mandatory interactive encoding,Research Associate,16
true,Phased national neural-net,Optimized directional capacity,Tax Accountant,17
false,Extended bandwidth-monitored concept,Customizable attitude-oriented firmware,Social Worker,18
true,Synergistic optimal paradigm,Horizontal tertiary standardization,Assistant Manager,19
true,Ameliorated eco-centric solution,Horizontal coherent Graphic Interface,Junior Executive,20
false,Customer-focused impactful approach,Seamless bottom-line monitoring,Speech Pathologist,21
false,Horizontal local adapter,Versatile user-facing initiative,Clinical Specialist,22
false,Seamless multimedia Graphical User Interface,Persistent 3rd generation Graphical User Interface,Geologist II,23
true,Switchable 24 hour website,Configurable object-oriented help-desk,Media Manager III,24
true,Universal encompassing frame,Switchable didactic instruction set,Computer Systems Analyst II,25
true,Organic human-resource emulation,Vision-oriented attitude-oriented contingency,Paralegal,26
false,Down-sized actuating projection,Reverse-engineered even-keeled policy,Dental Hygienist,27
true,Diverse context-sensitive monitoring,Operative heuristic knowledge user,Automation Specialist IV,28
true,Optional secondary open architecture,Team-oriented 5th generation capacity,Data Coordiator,29
false,Future-proofed local protocol,Visionary heuristic standardization,VP Product Management,30
false,Reverse-engineered zero defect Graphical User Interface,Ameliorated directional pricing structure,Design Engineer,31
true,Stand-alone local artificial intelligence,Automated modular challenge,Senior Developer,32
false,Monitored optimal middleware,Managed mobile hierarchy,Clinical Specialist,33
true,Quality-focused fresh-thinking focus group,Monitored scalable matrix,Civil Engineer,34
true,Phased disintermediate moratorium,Exclusive multimedia capability,Biostatistician I,35
true,Profound impactful framework,Horizontal context-sensitive Graphical User Interface,Web Designer II,36
false,Triple-buffered mobile firmware,Quality-focused content-based pricing structure,Office Assistant III,37
true,Distributed asynchronous superstructure,User-centric reciprocal intranet,Health Coach III,38
true,Future-proofed homogeneous website,Re-engineered bifurcated framework,Administrative Officer,39
false,Advanced regional hierarchy,Reduced zero tolerance help-desk,Administrative Assistant IV,40
true,Robust mission-critical complexity,De-engineered non-volatile Graphical User Interface,Software Test Engineer II,41
false,Synergistic zero administration frame,Decentralized holistic policy,VP Marketing,42
false,Reverse-engineered discrete utilisation,Focused needs-based structure,Safety Technician III,43
true,Fully-configurable attitude-oriented help-desk,Synergistic bottom-line frame,Compensation Analyst,44
true,Managed maximized challenge,Adaptive user-facing encoding,Project Manager,45
false,Cross-platform contextually-based local area network,Operative mission-critical moratorium,Dental Hygienist,46
true,Networked 24 hour parallelism,Persistent clear-thinking capacity,Assistant Professor,47
true,Configurable upward-trending groupware,Configurable heuristic pricing structure,Structural Engineer,48
true,Upgradable non-volatile approach,Organic leading edge utilisation,Recruiting Manager,49
true,Devolved bandwidth-monitored pricing structure,Advanced global matrix,Sales Associate,50
