especieid,descricao
1,Myotis lucifugus
2,Picoides pubescens
3,Hydrochoerus hydrochaeris
4,Ammospermophilus nelsoni
5,Eubalaena australis
6,Alopochen aegyptiacus
7,Libellula quadrimaculata
8,Dolichitus patagonum
9,Podargus strigoides
10,Spheniscus mendiculus
11,Tadorna tadorna
12,Dicrostonyx groenlandicus
13,Bucorvus leadbeateri
14,Geochelone elegans
15,Crotalus triseriatus
16,Vombatus ursinus
17,Merops nubicus
18,Microcavia australis
19,Haematopus ater
20,Canis aureus
21,Alectura lathami
22,Lepus arcticus
23,Vulpes vulpes
24,Castor canadensis
25,Ctenophorus ornatus
26,Platalea leucordia
27,Procyon lotor
28,Choloepus hoffmani
29,Plocepasser mahali
30,Pelecanus occidentalis
31,Upupa epops
32,Paraxerus cepapi
33,Equus burchelli
34,Connochaetus taurinus
35,Mustela nigripes
36,Anser caerulescens
37,Cebus apella
38,Zalophus californicus
39,Melophus lathami
40,Ceratotherium simum
41,Colaptes campestroides
42,Ephippiorhynchus mycteria
43,Alcelaphus buselaphus cokii
44,Cordylus giganteus
45,Laniaurius atrococcineus
46,Spizaetus coronatus
47,Merops nubicus
48,Giraffe camelopardalis
49,Paradoxurus hermaphroditus
50,Agelaius phoeniceus
