animalid,dtnascimento,esteril,nome,peso,status,pelagem_pelagemid,proprietario_pessoaid,raca_racaid
1,06/05/2573,true,"Marmot, hoary",76,true,1,1,1
2,20/03/2176,false,Nyala,12,true,2,2,2
3,19/05/2776,true,Australian brush turkey,26,false,3,3,3
4,16/09/2705,true,Suricate,44,false,4,4,4
5,22/08/2594,true,Wolf spider,100,false,5,5,5
6,08/03/2311,true,"Capuchin, brown",38,false,6,6,6
7,20/05/1919,true,"Stork, marabou",82,true,7,7,7
8,31/12/2115,true,Glossy starling (unidentified),68,true,8,8,8
9,23/11/1918,false,"Seal, southern elephant",51,true,9,9,9
10,01/10/2833,true,Koala,45,true,10,10,10
11,20/09/2420,false,"Snake, green vine",70,false,11,11,11
12,23/01/2116,true,Snake-necked turtle,65,false,12,12,12
13,10/04/2625,true,Meerkat,93,false,13,13,13
14,21/05/2966,true,Brindled gnu,29,true,14,14,14
15,10/12/2143,true,Crowned eagle,74,true,15,15,15
16,30/07/2427,true,Grey phalarope,18,false,16,16,16
17,29/11/2579,true,White spoonbill,80,false,17,17,17
18,22/11/2356,true,"Cormorant, javanese",15,true,18,18,18
19,03/07/2791,true,Meerkat,17,true,19,19,19
20,10/01/2733,true,"Squirrel, antelope ground",27,false,20,20,20
21,20/11/2896,false,"Gazelle, thomson's",44,false,21,21,21
22,23/09/2212,true,"Goldeneye, barrows",89,true,22,22,22
23,14/06/2604,false,"Marten, american",35,false,23,23,23
24,05/08/2908,false,"Tapir, brazilian",31,true,24,24,24
25,23/07/2017,false,Cereopsis goose,71,true,25,25,25
26,12/02/2200,true,"Screamer, southern",24,true,26,26,26
27,06/02/2693,false,"Finch, common melba",37,false,27,27,27
28,16/07/2416,false,Northern elephant seal,9,true,28,28,28
29,07/11/2104,true,Egyptian goose,89,true,29,29,29
30,11/05/2278,false,"Devil, tasmanian",70,true,30,30,30
31,06/03/2171,true,Red-necked phalarope,79,true,31,31,31
32,10/04/1911,false,Little grebe,87,true,32,32,32
33,11/11/2044,false,"Macaque, pig-tailed",85,false,33,33,33
34,03/02/2181,false,"Admiral, indian red",12,false,34,34,34
35,06/09/2770,false,African fish eagle,94,false,35,35,35
36,01/09/2030,true,Violet-crested turaco,85,true,36,36,36
37,06/09/2686,false,"Wallaroo, common",68,false,37,37,37
38,20/01/2846,false,"Eagle, african fish",3,false,38,38,38
39,14/08/2547,false,"Crane, wattled",36,true,39,39,39
40,04/10/1996,true,"Insect, stick",22,true,40,40,40
41,19/10/2506,true,"Anteater, giant",53,false,41,41,41
42,07/07/2133,true,"Heron, grey",23,false,42,42,42
43,08/07/2506,false,Argalis,28,false,43,43,43
44,28/02/2075,false,Whip-tailed wallaby,30,false,44,44,44
45,28/10/2472,true,Common mynah,87,false,45,45,45
46,04/05/2744,false,Giraffe,34,true,46,46,46
47,29/12/2692,true,"Porcupine, african",14,true,47,47,47
48,04/10/2600,false,"Phalarope, grey",63,true,48,48,48
49,24/02/2851,true,Defassa waterbuck,16,false,49,49,49
50,16/02/2753,true,Red-capped cardinal,64,false,50,50,50
