nome,ativo,descricao
2 in 1,false,Contr pulmon arteriogram
Black Walnut,false,Splenic cyst marsupial
Healthy Makeup,true,Osteoclasis-metacar/car
Quetiapine fumarate,true,Knee structure division
TOPIRAMATE,true,Limb shorten proc NEC
Bacsode,false,Parasitology-upper GI
Acetaminophen,false,Cvp monitoring
flormar REBORN FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 20 SF33 Chocolate,false,Trnsplnt live rel donor
Healing Waters Island Nectar Scented Anti-Bacterial Hand Sanitizer,true,Bact smear-endocrine
ANTI AGE VEIN,false,Contrast placentogram
Right Guard Sport,false,Gastric operation NEC
VINOPERFECT BROAD SPECTRUM SPF 15 DAY PERFECTING FLUID,true,Arth/pros rem wo rep NOS
Curvularia,false,Periurethral incision
Apiol,false,Corneal biopsy
Cyclopentolate Hydrochloride,false,Other soft tissue excis
Valsartan and hydrochlorothiazide,true,Uterus/adnexa repair NEC
Good Sense Nasal Decongestant PE,false,Nephroureterectomy
LBEL COULEUR LUXE AMPLIFIER XP,false,Unilat ing hern rep NOS
Caverject,true,Suture of tongue lacerat
Super Aqua Day,false,Culture-spleen/marrow
Naturasil,true,Auto hem stem ct w/o pur
Lab1796 Anxiety Shield,false,Flexible sigmoidoscopy
Pericardium Triple Warmer Meridian Opener,true,Removal of FB NOS
Mood Swings,true,Hyperthermia ca therapy
CD DiorSnow White Reveal UV Shield Foundation 021-Linen,false,Surg vessel occlus NEC
Baclofen,false,Rev pedcl dyn stabil dev
Everyday Clean Dandruff,true,Impl other limb length
Nosmotea,false,Replace nephrostomy tube
All Day Allergy,false,Anal fistulectomy
LANEIGE SKIN VEIL,false,Ins spinal fusion device
All Day Relief,true,Triple arthrodesis
Medrol,true,Soft tissue inject NEC
SENOKOT-S,false,Graft repair ventric def
Rheumatism,true,Low cervical c-section
Atenolol,false,Uterine art emb w/o coil
Tizanidine,true,Contrast laryngogram
Neutrogena Shine Control Makeup,true,Metacar/car wedg osteoto
Lisinopril and Hydrochlorothiazide,true,Orbital exenteration NEC
EBSS-5,true,Ind therap psychsex dysf
Nigrospora sphaerica,true,Full-thick skin grft NEC
Propranolol Hydrochloride,true,Open seminal vesicles bx
Sooryehan Jadan Sun Mild,true,Body measurement
IOPE RETIGEN SMOOTHING PACT,false,Refus oth cervcl ant/ant
Hydroxyzine Pamoate,true,Bact smear-bili/pancreas
Vivelle-Dot,false,Arth/pros rem wo re-shld
CVS PHARMACY,false,Repair of ovary NEC
SHISEIDO THE MAKEUP LIFTING FOUNDATION,false,Eye examination NOS
DrxNoze Nosebleed Relief,true,Rt/left heart card cath
Treatment Set TS330836,true,Remove solitary testis
Clorazepate Dipotassium,true,Opn ind ing hern-gft NEC
