racaid,descricao,especie_especieid
1,Fabaceae,1
2,Asteraceae,2
3,Ranunculaceae,3
4,Nyctaginaceae,4
5,Asteraceae,5
6,Asteraceae,6
7,Malpighiaceae,7
8,Polygonaceae,8
9,Uncertain Ascomycota Family,9
10,Fabaceae,10
11,Fabaceae,11
12,Cyperaceae,12
13,Scrophulariaceae,13
14,Brassicaceae,14
15,Bacidiaceae,15
16,Poaceae,16
17,Asteraceae,17
18,Collemataceae,18
19,Caprifoliaceae,19
20,Fouquieriaceae,20
21,Bacidiaceae,21
22,Orchidaceae,22
23,Malvaceae,23
24,Saxifragaceae,24
25,Onagraceae,25
26,Brassicaceae,26
27,Pannariaceae,27
28,Fabaceae,28
29,Sphinctrinaceae,29
30,Scrophulariaceae,30
31,Pottiaceae,31
32,Poaceae,32
33,Lauraceae,33
34,Scrophulariaceae,34
35,Euphorbiaceae,35
36,Brassicaceae,36
37,Convolvulaceae,37
38,Araceae,38
39,Celastraceae,39
40,Fabaceae,40
41,Brassicaceae,41
42,Fumariaceae,42
43,Grossulariaceae,43
44,Fabaceae,44
45,Dennstaedtiaceae,45
46,Parmeliaceae,46
47,Pteridaceae,47
48,Asteraceae,48
49,Candelariaceae,49
50,Bartramiaceae,50
